,DJI,HSI,OMX20,STI,FTSE,
18/05/2000,0.000699865,-0.034665762,-0.004797684,0,0.005910307,
19/05/2000,-0.014055018,0.010809505,0,-0.009694775,-0.030555392,
22/05/2000,-0.007965747,-0.023588928,-0.015316619,-0.031892155,-0.001629015,
23/05/2000,-0.011473463,0.008201354,0.019030708,-0.01275012,0.008455521,
24/05/2000,0.010790283,-0.022930178,-0.001855321,-0.017732379,0.005215732,
25/05/2000,-0.020272736,-0.00092766,0.018124867,-0.011659966,0.018217906,
26/05/2000,-0.002393427,-0.014351405,-0.005762909,-0.016132765,-0.00227988,
29/05/2000,0,0.018223632,0.001763455,0.007104106,0,
30/05/2000,0.02188676,0.00113209,0.014337409,-0.018927906,0.022686158,
31/05/2000,-0.000455833,0.050382788,-0.009821951,-0.002281353,-3.46E-05,
01/06/2000,0.01226541,0.015331922,0,0.023197889,0.017333396,
02/06/2000,0.013294388,0.022691244,0.023923123,0.039037313,0.023799085,
05/06/2000,0.001902071,0.037093065,0,0.037010721,-0.012105184,
06/06/2000,-0.007399681,0,-0.003599365,0.009683446,1.53E-05,
07/06/2000,0.007174049,0.002416745,-0.003950639,0.016425124,-0.006579047,
08/06/2000,-0.01342041,-0.001455771,0.000236802,0.012405107,-0.001115351,
09/06/2000,-0.005136595,0.015209754,-0.008765132,-0.00860864,-0.008159021,
12/06/2000,-0.004708043,-0.004053424,0,-0.0002693,-0.002003937,
13/06/2000,0.005440595,-0.022812512,-0.012152987,-0.011540039,0.002520581,
14/06/2000,0.006204854,0.010404528,-0.000483676,0.00865644,0.013737758,
15/06/2000,0.002510904,0.01398195,0.006509969,-0.0002505,-0.006982396,
16/06/2000,-0.025092508,0.021778074,0.010009136,-0.011596352,0.0054084,
19/06/2000,0.010333564,-0.010208074,-0.010043469,-0.007993297,-0.005499302,
20/06/2000,-0.011687889,-0.011172078,0.002537463,0.006939168,0.005640266,
21/06/2000,0.00597877,0.009367466,-0.004118057,0.009536095,-0.007561923,
22/06/2000,-0.011653248,-0.017756015,0.011692041,-0.000354858,-0.009919734,
23/06/2000,0.002756454,-0.013523527,-0.008739047,0.002800936,-0.003487619,
26/06/2000,0.013198455,0.015186474,-0.012558818,-0.003540629,0.002138059,
27/06/2000,-0.003661692,0.011007534,-0.007982613,0.004587119,-0.004669622,
28/06/2000,0.002218935,0.017344017,0.00185318,0.012065746,-0.009740905,
29/06/2000,-0.0124018,-0.009266314,-0.013717636,-0.005570611,-0.011878242,
30/06/2000,0.004783102,-0.008077083,0.01814435,-0.005744105,0.011748354,
03/07/2000,0.010736777,-0.001908878,0.020754845,0.015985621,0.024677506,
04/07/2000,0,0.006847215,0.009391651,0.000777171,-0.008293406,
05/07/2000,-0.007325055,0.014583553,0.005116306,0.003809528,-0.005395557,
06/07/2000,-0.000202368,0.000929503,0.004321687,-0.007517381,0.00580065,
07/07/2000,0.014633285,0.020431359,0.009184145,0.013412494,0.012069391,
10/07/2000,0.000996744,0.023994485,0.004824382,0.002615291,-0.004828848,
11/07/2000,0.007541539,0.006994008,0.015049685,0.004266163,0.001483533,
12/07/2000,0.005227906,0.011033593,0.009308406,0.002980727,0.006565959,
13/07/2000,0.000491945,-0.005871722,-0.009893068,-0.013510178,-0.006582946,
14/07/2000,0.002224503,0.007801234,-0.004820228,-0.002458644,-5.71E-05,
17/07/2000,-0.000784608,0.014038254,0.001565864,0.01339616,0.007705712,
18/07/2000,-0.005973498,-0.022336474,-0.00454123,-0.000697607,-0.011546068,
19/07/2000,-0.00409039,0.015319395,0.002060811,0.014487679,0.002308767,
20/07/2000,0.01372223,0.002731433,0.018519048,-0.001854602,0.000550468,
21/07/2000,-0.010224569,0.00910056,-0.012069724,-0.003075156,-0.014102665,
24/07/2000,-0.004522878,-0.014680756,-0.000194824,-0.013129499,0.000452988,
25/07/2000,0.001388751,-0.016232682,-0.021400318,-0.000314491,0.001476662,
26/07/2000,-0.017297837,0.013995714,-0.008194856,-0.009158717,-0.000571302,
27/07/2000,0.006601126,-0.009702868,0.005071411,-0.010710442,-0.005488576,
28/07/2000,-0.00710554,-0.015370161,-0.000632522,-0.008789033,-0.002591463,
31/07/2000,0.001027436,-0.020159443,0.017561105,0.005960563,0.004656353,
01/08/2000,0.008043589,0.003347521,0.018222409,0.011087819,0.002211132,
02/08/2000,0.007568236,0.022235987,-0.003024845,-0.003942034,0.00186835,
03/08/2000,0.001780518,-0.00018002,-0.013236203,-0.010163188,-0.01166957,
04/08/2000,0.005696855,0.008727438,0.017192401,0.003758155,0.007315121,
07/08/2000,0.009176085,0.017156876,0.016112433,0.003205217,0.003806678,
08/08/2000,0.010060784,-0.029505485,-0.014476637,-0.006968262,-0.004654054,
09/08/2000,-0.006494399,-0.001735777,0.023250968,0,0.008745688,
10/08/2000,0.000268646,0.008762572,-0.01298433,0.019039891,-0.004171477,
11/08/2000,0.010853156,-0.00687691,0.017171313,0.007965961,-0.000440034,
14/08/2000,0.013361905,-0.012648185,0.017892661,0.012364933,0.005540302,
15/08/2000,-0.009814333,0.027015486,0.003699122,0.012288209,0.008621699,
16/08/2000,-0.005309453,0.015377453,0.005507979,0.014947355,0.008691916,
17/08/2000,0.004282946,-0.00634347,-0.021782007,0.009642864,-0.002127168,
18/08/2000,-0.000828597,-0.01038227,-0.009786583,-0.009802996,0.00390298,
21/08/2000,0.003012798,0.00351903,0.011707694,0.006917161,-0.00022467,
22/08/2000,0.005341083,0.009485493,-0.016668613,0.004452311,0.006495028,
23/08/2000,0.000493105,-0.013727261,0.014840544,-0.009116256,-0.00282563,
24/08/2000,0.003412189,0.000705536,0.010151432,-0.007556613,-0.001402089,
25/08/2000,0.000883956,-0.011706064,0.011901633,-0.003534362,0.00101671,
28/08/2000,0.005364992,-0.01266813,-0.000273062,0.004522852,0,
29/08/2000,-0.003359023,0.012863624,-0.009849592,-0.004342837,0.003431187,
30/08/2000,-0.010045338,-0.008401147,0.005836087,-0.000618649,0.004370759,
31/08/2000,0.010045338,9.53E-05,0.011149266,-0.008147298,0.008660643,
01/09/2000,0.002108941,0.013714552,0.00534857,0.006002149,0.018169938,
04/09/2000,0,0.022394687,0.008771986,0.013496697,0.000448758,
05/09/2000,0.001940248,-0.007414804,0.017199658,-0.005567831,-0.006727433,
06/09/2000,0.004433616,0.000568743,-0.007826853,-0.006684674,-0.008589195,
07/09/2000,-0.004499325,-0.009891288,-0.005311314,-0.010174587,-0.000827859,
08/09/2000,-0.003488797,-0.009018311,-0.006500372,-0.003011783,-0.013311027,
11/09/2000,-0.002244522,-0.015603773,-0.011380435,-0.007257956,-0.002843113,
12/09/2000,0.003364896,-0.022487582,-0.015266082,-0.01595499,-0.004034259,
13/09/2000,-0.004555215,0,0.00265718,-0.001904922,-0.011861698,
14/09/2000,-0.0085056,-0.014192427,0.008927546,-0.002438023,0.011861698,
15/09/2000,-0.014578559,-0.008938652,0.002686916,-0.011295999,-0.021306923,
18/09/2000,-0.010901818,-0.043350184,-0.002717147,-0.018393865,-0.001114797,
19/09/2000,-0.001781432,0.007493626,-0.005395751,-0.000912997,-0.001037956,
20/09/2000,-0.009439557,-0.000738925,-0.004966721,-0.003894549,-0.019490659,
21/09/2000,0.007234069,-0.03251463,0.000824415,-0.008900294,-0.012933805,
22/09/2000,0.0075744,-0.037050541,-0.000641153,-0.028468443,0.001080201,
25/09/2000,-0.003621707,0.054342283,0.01710841,0.022815961,0.008216367,
26/09/2000,-0.016496785,-0.008991005,0.006672776,0.00598931,-0.007040758,
27/09/2000,-0.000278426,0.009974386,-0.002418597,-0.009692558,0.008995025,
28/09/2000,0.018245975,-0.001839282,-0.014059509,-0.00271903,-0.000836163,
